0,1,2,3,5,7,9,11,12
42820,93945,26900,10101,9130,40400,197000,86847,14100
42142,93452,24200,10009,10200,54900,225000,64168,25972
41457,68587,24400,9829,17100,50200,188000,62274,25240
46299,38070,26100,10004,16800,77000,231000,76536,26600
35677,47629,26700,8452,12700,124000,268100,80869,26300
34614,80362,53100,4260,17400,128000,295000,69373,19100
58131,115056,48200,14535,11800,113000,266100,39309,25090
56884,96397,24000,13201,11000,30100,186700,22586,21980
40840,80021,16200,11163,7300,26400,133000,31427,14000
50515,76083,20100,10051,7060,32500,150000,32365,10730
43378,63277,25900,10072,11400,35600,146000,17170,15950
42573,83426,27200,10021,13000,48900,173000,53179,10330
