name,zone,NOX lb/MWh,SO2 lb/MWh,CO2 lb/MWh,CH4 lb/MWh,N2O lb/MWh,CO2 equivalent lb/MWh
ALDEN_BAILEY_LOKI,PNW,5.34,0.01,1943.98,0.04,0.00,1945.88
BEAVER_1,PNW,0.04,0.02,1026.08,0.02,0.00,1027.30
BEAVER_2,PNW,0.04,0.02,1026.08,0.02,0.00,1027.30
BEAVER_3,PNW,0.04,0.02,1026.08,0.02,0.00,1027.30
BEAVER_4,PNW,0.04,0.02,1026.08,0.02,0.00,1027.30
BEAVER_5,PNW,0.04,0.02,1026.08,0.02,0.00,1027.30
BEAVER_6,PNW,0.04,0.02,1026.08,0.02,0.00,1027.30
BEAVER_7,PNW,0.04,0.02,1026.08,0.02,0.00,1027.30
BEAVER_8,PNW,0.04,0.02,1026.08,0.02,0.00,1027.30
BIOTECH_LS_BLS1,PNW,0.3,0.19,955.70,0.03,0.00,957.19
BOARDMAN_1,PNW,2.09,4.64,2098.77,0.24,0.03,2114.66
BOULDER_PARK_1,PNW,25.9,0.01,1115.56,0.02,0.00,1116.66
BOULDER_PARK_2,PNW,25.9,0.01,1115.56,0.02,0.00,1116.66
BOULDER_PARK_3,PNW,25.9,0.01,1115.56,0.02,0.00,1116.66
BOULDER_PARK_4,PNW,25.9,0.01,1115.56,0.02,0.00,1116.66
BOULDER_PARK_5,PNW,25.9,0.01,1115.56,0.02,0.00,1116.66
BOULDER_PARK_6,PNW,25.9,0.01,1115.56,0.02,0.00,1116.66
CHEHALIS_CA,PNW,0.07,0,919.38,0.02,0.00,920.27
CHEHALIS_CT1,PNW,0.07,0,919.38,0.02,0.00,920.27
CHEHALIS_CT2,PNW,0.07,0,919.38,0.02,0.00,920.27
COLUMBIA_2,PNW,0,0,0.00,0.00,0.00,0.00
COYOTE_SPRINGS_1_GEN_1,PNW,0.24,0.01,1819.79,0.02,0.00,1820.65
COYOTE_SPRINGS_1_GEN_2,PNW,0.24,0.01,1819.79,0.02,0.00,1820.65
COYOTE_SPRINGS_2_GEN_1,PNW,2.23,0,587.17,0.02,0.00,587.97
COYOTE_SPRINGS_2_GEN_2,PNW,2.23,0,587.17,0.02,0.00,587.97
CRYSTAL_MOUNTAIN_1,PNW,36.18,3.26,1838.10,0.07,0.01,1844.28
ENCOGEN_CTG1,PNW,0.27,0.02,1059.36,0.02,0.00,1060.43
ENCOGEN_CTG2,PNW,0.27,0.02,1059.36,0.02,0.00,1060.43
ENCOGEN_CTG3,PNW,0.27,0.02,1059.36,0.02,0.00,1060.43
ENCOGEN_STG,PNW,0.27,0.02,1059.36,0.02,0.00,1060.43
FERNDALE_CT1A,PNW,0.2,0.02,1014.88,0.02,0.00,1015.85
FERNDALE_CT1B,PNW,0.2,0.02,1014.88,0.02,0.00,1015.85
FERNDALE_ST1,PNW,0.2,0.02,1014.88,0.02,0.00,1015.85
FREDERICKSON_1,PNW,0.32,0.2,3783.26,0.07,0.01,3787.13
FREDERICKSON_2,PNW,0.32,0.2,3783.26,0.07,0.01,3787.13
FREDERICKSON_PWR_FICT,PNW,0.08,0,856.97,0.02,0.00,857.80
FREDERICKSON_PWR_FIST,PNW,0.08,0,856.97,0.02,0.00,857.80
FREDONIA_1,PNW,0.03,0,223.14,0.03,0.00,224.95
FREDONIA_2,PNW,0.03,0,223.14,0.03,0.00,224.95
FREDONIA_3,PNW,0.03,0,223.14,0.03,0.00,224.95
FREDONIA_4,PNW,0.03,0,223.14,0.03,0.00,224.95
GOLDENDALE_G1,PNW,0.07,0,848.65,0.02,0.00,849.48
GOLDENDALE_G2,PNW,0.07,0,848.65,0.02,0.00,849.48
GRAND_COULEE_PS,PNW,0.3,0.19,955.70,0.03,0.00,957.19
GRAYS_HARBOR_CT1,PNW,0.07,0,839.67,0.02,0.00,840.51
GRAYS_HARBOR_CT2,PNW,0.07,0,839.67,0.02,0.00,840.51
GRAYS_HARBOR_ST1,PNW,0.07,0,839.67,0.02,0.00,840.51
GRIMES_WAY_1,PNW,6.44,0.59,1503.81,0.03,0.00,1505.93
GRIMES_WAY_2,PNW,6.44,0.59,1503.81,0.03,0.00,1505.93
GRIMES_WAY_3,PNW,6.44,0.59,1503.81,0.03,0.00,1505.93
HERMISTON_1,PNW,0.13,0,906.48,0.02,0.00,907.36
HERMISTON_2,PNW,0.13,0,906.48,0.02,0.00,907.36
HERMISTON_3,PNW,0.13,0,906.48,0.02,0.00,907.36
HERMISTON_4,PNW,0.13,0,906.48,0.02,0.00,907.36
HERMISTON_PWR_CTG1,PNW,0.11,0,859.08,0.02,0.00,859.90
HERMISTON_PWR_CTG2,PNW,0.11,0,859.08,0.02,0.00,859.90
HERMISTON_PWR_STG1,PNW,0.11,0,859.08,0.02,0.00,859.90
KLAMATH_COGEN_CT1,PNW,0.12,0,901.58,0.02,0.00,902.45
KLAMATH_COGEN_CT2,PNW,0.12,0,901.58,0.02,0.00,902.45
KLAMATH_COGEN_ST1,PNW,0.12,0,901.58,0.02,0.00,902.45
KLAMATH_EXPANSION_GT1,PNW,0.12,0,901.58,0.02,0.00,902.45
KLAMATH_EXPANSION_GT2,PNW,0.12,0,901.58,0.02,0.00,902.45
KLAMATH_EXPANSION_GT3,PNW,0.12,0,901.58,0.02,0.00,902.45
KLAMATH_EXPANSION_GT4,PNW,0.12,0,901.58,0.02,0.00,902.45
MARCH_POINT_GTG1,PNW,0,0,820.31,0.02,0.00,821.55
MARCH_POINT_GTG2,PNW,0,0,820.31,0.02,0.00,821.55
MARCH_POINT_GTG3,PNW,0,0,820.31,0.02,0.00,821.55
MARCH_POINT_STG1,PNW,0,0,820.31,0.02,0.00,821.55
MINT_FARM_1STG,PNW,0.06,0.01,869.11,0.02,0.00,869.94
MINT_FARM_CTG1,PNW,0.06,0.01,869.11,0.02,0.00,869.94
NORTHEAST_1,PNW,3.99,0.01,1451.57,0.03,0.00,1452.99
OSU_ENERGY_CENTER_CTG,PNW,0.01,0.01,1386.90,0.03,0.00,1388.27
OSU_ENERGY_CENTER_STG,PNW,0.01,0.01,1386.90,0.03,0.00,1388.27
P14I,WECC,0,0,0.00,0.00,0.00,0.00
P3I,WECC,0,0,0.00,0.00,0.00,0.00
P65I,WECC,0,0,0.00,0.00,0.00,0.00
P66I,WECC,0,0,0.00,0.00,0.00,0.00
P8I,WECC,0,0,0.00,0.00,0.00,0.00
PNWH,PNW,0,0,0.00,0.00,0.00,0.00
PORT_WESTWARD_1_GEN_1,PNW,0.06,0.02,833.25,0.02,0.00,834.05
PORT_WESTWARD_1_GEN_2,PNW,0.06,0.02,833.25,0.02,0.00,834.05
RATHDRUM_1,PNW,0.79,0.01,1302.20,0.03,0.00,1303.67
RATHDRUM_2,PNW,0.79,0.01,1302.20,0.03,0.00,1303.67
RATHDRUMPWR_CTG1,PNW,0.11,0,843.76,0.02,0.00,844.57
RATHDRUMPWR_STG1,PNW,0.11,0,843.76,0.02,0.00,844.57
RIVER_ROAD,PNW,0.09,0,773.52,0.02,0.00,774.36
RUPERT_1002,PNW,3.91,0.01,1393.92,0.03,0.00,1395.29
SLACK,PNW,0.3,0.19,955.70,0.03,0.00,957.19
SUMAS_GEN1,PNW,0.16,0.02,1032.89,0.02,0.00,1033.92
SUMAS_GEN2,PNW,0.16,0.02,1032.89,0.02,0.00,1033.92
TRANSALTA_CENTRALIA_1,PNW,0.3,0.19,955.70,0.03,0.00,957.19
TRANSALTA_CENTRALIA_2,PNW,0.3,0.19,955.70,0.03,0.00,957.19
TRANSALTA_CENTRALIA_CC,PNW,0.3,0.19,955.70,0.03,0.00,957.19
UNIV_OF_WA_DG3,PNW,0.03,0.05,691.25,0.01,0.00,691.96
UNIV_OF_WA_DG4,PNW,0.03,0.05,691.25,0.01,0.00,691.96
UNIV_OF_WA_DG5,PNW,0.03,0.05,691.25,0.01,0.00,691.96
UNIV_OF_WA_DG6,PNW,0.03,0.05,691.25,0.01,0.00,691.96
UNIV_OF_WA_DG7,PNW,0.03,0.05,691.25,0.01,0.00,691.96
UNIV_OF_WA_TG2,PNW,0.03,0.05,691.25,0.01,0.00,691.96
WHITEHORN_2,PNW,0.31,0.19,2658.13,0.05,0.01,2660.89
WHITEHORN_3,PNW,0.31,0.19,2658.13,0.05,0.01,2660.89
